Tournament,Date,Participation,Winner,Runner-up,Final Score,Overview_Serve_Ace %_Winner,Overview_Serve_Ace %_Runner-up,Overview_Serve_Double Fault %_Winner,Overview_Serve_Double Fault %_Runner-up,Overview_Serve_1st Serve %_Winner,Overview_Serve_1st Serve %_Runner-up,Overview_Serve_1st Serve Won %_Winner,Overview_Serve_1st Serve Won %_Runner-up,Overview_Serve_2nd Serve Won %_Winner,Overview_Serve_2nd Serve Won %_Runner-up,Overview_Serve_Break Points Saved %_Winner,Overview_Serve_Break Points Saved %_Runner-up,Overview_Serve_Service Points Won %_Winner,Overview_Serve_Service Points Won %_Runner-up,Overview_Return_1st Srv. Return Won %_Winner,Overview_Return_1st Srv. Return Won %_Runner-up,Overview_Return_2nd Srv. Return Won %_Winner,Overview_Return_2nd Srv. Return Won %_Runner-up,Overview_Return_Break Points Won %_Winner,Overview_Return_Break Points Won %_Runner-up,Overview_Return_Return Points Won %_Winner,Overview_Return_Return Points Won %_Runner-up,Overview_Total_Points Dominance_Winner,Overview_Total_Total Points Won %_Winner,Overview_Total_Total Points Won %_Runner-up,Overview_Total_Match Time_Winner,AcesDFs_Aces_Aces_Winner,AcesDFs_Aces_Ace %_Winner,AcesDFs_Aces_Ace %_Runner-up,AcesDFs_Aces_Aces per Svc. Game_Winner,AcesDFs_Aces_Aces per Svc. Game_Runner-up,AcesDFs_Aces_Aces per Set_Winner,AcesDFs_Aces_Aces per Set_Runner-up,AcesDFs_Double Faults_Double Faults_Winner,AcesDFs_Double Faults_Double Fault %_Winner,AcesDFs_Double Faults_Double Fault %_Runner-up,AcesDFs_Double Faults_DFs per 2nd Serve %_Winner,AcesDFs_Double Faults_DFs per 2nd Serve %_Runner-up,AcesDFs_Double Faults_DFs per Svc. Game_Winner,AcesDFs_Double Faults_DFs per Svc. Game_Runner-up,AcesDFs_Double Faults_DFs per Set_Winner,AcesDFs_Double Faults_DFs per Set_Runner-up,AcesDFs_Other_Aces / DFs Ratio_Winner,AcesDFs_Other_Aces / DFs Ratio_Runner-up,Serve_Serve_1st Serve %_Winner,Serve_Serve_1st Serve %_Runner-up,Serve_Serve_1st Serve Won %_Winner,Serve_Serve_1st Serve Won %_Runner-up,Serve_Serve_2nd Serve Won %_Winner,Serve_Serve_2nd Serve Won %_Runner-up,Serve_Serve_1st Serve Effectiveness_Winner,Serve_Serve_Serve Rating_Winner,Serve_Points_Service Points Won %_Winner,Serve_Points_Service Points Won %_Runner-up,Serve_Points_Svc. In-play Pts. Won %_Winner,Serve_Points_Svc. In-play Pts. Won %_Runner-up,Serve_Points_Points per Service Game_Winner,Serve_Points_Points per Service Game_Runner-up,Serve_Points_Pts. Lost per Svc. Game_Winner,Serve_Points_Pts. Lost per Svc. Game_Runner-up,Serve_Points_Break Points Saved %_Winner,Serve_Points_Break Points Saved %_Runner-up,Serve_Points_BPs per Svc. Game_Winner,Serve_Points_BPs per Svc. Game_Runner-up,Serve_Points_BPs Faced per Set_Winner,Serve_Points_BPs Faced per Set_Runner-up,Serve_Games_Service Games Won %_Winner,Serve_Games_Service Games Won %_Runner-up,Serve_Games_Svc. Gms. Lost per Set_Winner,Serve_Games_Svc. Gms. Lost per Set_Runner-up,Return_Return_1st Srv. Return Won %_Winner,Return_Return_1st Srv. Return Won %_Runner-up,Return_Return_2nd Srv. Return Won %_Winner,Return_Return_2nd Srv. Return Won %_Runner-up,Return_Return_Return Rating_Winner,Return_Points_Return Points Won %_Winner,Return_Points_Return Points Won %_Runner-up,Return_Points_Rtn. In-play Pts. Won %_Winner,Return_Points_Rtn. In-play Pts. Won %_Runner-up,Return_Points_Points per Return Game_Winner,Return_Points_Points per Return Game_Runner-up,Return_Points_Pts. Won per Rtn. Game_Winner,Return_Points_Pts. Won per Rtn. Game_Runner-up,Return_Points_Break Points Won %_Winner,Return_Points_Break Points Won %_Runner-up,Return_Points_BPs per Return Game_Winner,Return_Points_BPs per Return Game_Runner-up,Return_Points_BPs per Set_Winner,Return_Points_BPs per Set_Runner-up,Return_Games_Return Games Won %_Winner,Return_Games_Return Games Won %_Runner-up,Return_Games_Rtn. Gms. Won per Set_Winner,Return_Games_Rtn. Gms. Won per Set_Runner-up,Total_Points & Games_Total Points Played_Winner,Total_Points & Games_Total Points Won_Winner,Total_Points & Games_Total Points Won %_Winner,Total_Points & Games_Total Points Won %_Runner-up,Total_Points & Games_Rtn. to Svc. Points Ratio_Winner,Total_Points & Games_Rtn. to Svc. Points Ratio_Runner-up,Total_Points & Games_Total Games Played_Winner,Total_Points & Games_Total Games Won_Winner,Total_Points & Games_Games Won %_Winner,Total_Points & Games_Games Won %_Runner-up,Total_Dominance_Points Dominance_Winner,Total_Dominance_Games Dominance_Winner,Total_Dominance_Break Points Ratio_Winner,Total_Time_Point Time (seconds)_Winner,Total_Time_Game Time (minutes)_Winner,Total_Time_Set Time (minutes)_Winner,Total_Time_Match Time_Winner
US Open 2001,27-08-2001,95.7%,Lleyton Hewitt,Pete Sampras,7-6(4) 6-1 6-1,7 / 77,11 / 99,5 / 77,6 / 99,49 / 77,59 / 99,41 / 49,37 / 59,14 / 28,17 / 40,1 / 2,7 / 13,55 / 77,54 / 99,22 / 59,8 / 49,23 / 40,14 / 28,6 / 13,1 / 2,45 / 99,22 / 77,0.63,100 / 176,76 / 176,1:54,11,7 / 77,11 / 99,7 / 13,11 / 13,7 / 3,11 / 3,6,5 / 77,6 / 99,5 / 28,6 / 40,5 / 13,6 / 13,5 / 3,6 / 3,7 / 5,11 / 6,49 / 77,59 / 99,41 / 49,37 / 59,14 / 28,17 / 40,1.48,278,55 / 77,54 / 99,48 / 65,43 / 82,77 / 13,99 / 13,22 / 13,45 / 13,1 / 2,7 / 13,2 / 13,13 / 13,2 / 3,13 / 3,12 / 13,7 / 13,1 / 3,6 / 3,22 / 59,8 / 49,23 / 40,14 / 28,124,45 / 99,22 / 77,39.0 / 82.0,17.0 / 65.0,99 / 13,77 / 13,45 / 13,22 / 13,6 / 13,1 / 2,13 / 13,2 / 13,13 / 3,2 / 3,6 / 13,1 / 13,6 / 3,1 / 3,176,76,100 / 176,76 / 176,99 / 77,77 / 99,26,8,18 / 26,8 / 26,0.63,0.17,1.08,38.9,4.38,38.0,1:54
US Open 2000,28-08-2000,95.5%,Marat Safin,Pete Sampras,6-4 6-3 6-3,12 / 82,8 / 79,2 / 82,4 / 79,40 / 82,50 / 79,34 / 40,38 / 50,26 / 42,12 / 29,2 / 2,5 / 9,60 / 82,50 / 79,12 / 50,6 / 40,17 / 29,16 / 42,4 / 9,0 / 2,29 / 79,22 / 82,0.73,89 / 161,72 / 161,1:38,8,12 / 82,8 / 79,12 / 14,8 / 14,12 / 3,8 / 3,4,2 / 82,4 / 79,2 / 42,4 / 29,2 / 14,4 / 14,2 / 3,4 / 3,12 / 2,8 / 4,40 / 82,50 / 79,34 / 40,38 / 50,26 / 42,12 / 29,1.84,313,60 / 82,50 / 79,48 / 68,42 / 67,82 / 14,79 / 14,22 / 14,29 / 14,2 / 2,5 / 9,2 / 14,9 / 14,2 / 3,9 / 3,14 / 14,10 / 14,0 / 3,4 / 3,12 / 50,6 / 40,17 / 29,16 / 42,53,29 / 79,22 / 82,25.0 / 67.0,20.0 / 68.0,79 / 14,82 / 14,29 / 14,22 / 14,4 / 9,0 / 2,9 / 14,2 / 14,9 / 3,2 / 3,4 / 14,0 / 14,4 / 3,0 / 3,161,72,89 / 161,72 / 161,79 / 82,82 / 79,28,10,18 / 28,10 / 28,0.73,0.00,0.00,36.5,3.50,32.7,1:38
US Open 1999,30-08-1999,86.1%,Andre Agassi,Todd Martin,6-4 6-7(5) 6-7(2) 6-3 6-2,6 / 160,23 / 152,4 / 160,8 / 152,102 / 160,90 / 152,76 / 102,64 / 90,38 / 58,37 / 62,8 / 8,5 / 10,114 / 160,101 / 152,26 / 90,26 / 102,25 / 62,20 / 58,5 / 10,0 / 8,51 / 152,46 / 160,0.86,165 / 312,147 / 312,3:23,23,6 / 160,23 / 152,6 / 25,23 / 26,6 / 5,23 / 5,8,4 / 160,8 / 152,4 / 58,8 / 62,4 / 25,8 / 26,4 / 5,8 / 5,6 / 4,23 / 8,102 / 160,90 / 152,76 / 102,64 / 90,38 / 58,37 / 62,1.19,331,114 / 160,101 / 152,108 / 150,78 / 121,160 / 25,152 / 26,46 / 25,51 / 26,8 / 8,5 / 10,8 / 25,10 / 26,8 / 5,10 / 5,25 / 25,21 / 26,0 / 5,5 / 5,26 / 90,26 / 102,25 / 62,20 / 58,60,51 / 152,46 / 160,43.0 / 121.0,42.0 / 150.0,152 / 26,160 / 25,51 / 26,46 / 25,5 / 10,0 / 8,10 / 26,8 / 25,10 / 5,8 / 5,5 / 26,0 / 25,5 / 5,0 / 5,312,147,165 / 312,147 / 312,152 / 160,160 / 152,51,21,30 / 51,21 / 51,0.86,0.00,0.00,39.0,3.98,40.6,3:23
US Open 1998,31-08-1998,95.6%,Patrick Rafter,Mark,6-3 3-6 6-2 6-0,7 / 94,5 / 135,1 / 94,13 / 135,68 / 94,70 / 135,56 / 68,45 / 70,15 / 26,23 / 65,2 / 3,14 / 20,71 / 94,68 / 135,25 / 70,12 / 68,42 / 65,11 / 26,6 / 20,1 / 3,67 / 135,23 / 94,0.49,138 / 229,91 / 229,0:00,5,7 / 94,5 / 135,7 / 16,5 / 16,7 / 4,5 / 4,13,1 / 94,13 / 135,1 / 26,13 / 65,1 / 16,13 / 16,1 / 4,13 / 4,7 / 1,5 / 13,68 / 94,70 / 135,56 / 68,45 / 70,15 / 26,23 / 65,1.82,278,71 / 94,68 / 135,64 / 86,63 / 117,94 / 16,135 / 16,23 / 16,67 / 16,2 / 3,14 / 20,3 / 16,20 / 16,3 / 4,20 / 4,15 / 16,10 / 16,1 / 4,6 / 4,25 / 70,12 / 68,42 / 65,11 / 26,100,67 / 135,23 / 94,54.0 / 117.0,22.0 / 86.0,135 / 16,94 / 16,67 / 16,23 / 16,6 / 20,1 / 3,20 / 16,3 / 16,20 / 4,3 / 4,6 / 16,1 / 16,6 / 4,1 / 4,229,91,138 / 229,91 / 229,135 / 94,94 / 135,32,11,21 / 32,11 / 32,0.49,0.17,1.11,0.0,0.00,0.0,0:00
US Open 1997,25-08-1997,93.0%,Patrick Rafter,Greg,6-3 6-2 4-6 7-5,7 / 123,9 / 136,6 / 123,4 / 136,76 / 123,85 / 136,64 / 76,58 / 85,19 / 47,23 / 51,6 / 9,11 / 17,83 / 123,81 / 136,27 / 85,12 / 76,28 / 51,28 / 47,6 / 17,3 / 9,55 / 136,40 / 123,0.80,138 / 259,121 / 259,2:25,9,7 / 123,9 / 136,7 / 20,9 / 19,7 / 4,9 / 4,4,6 / 123,4 / 136,6 / 47,4 / 51,6 / 20,4 / 19,6 / 4,4 / 4,7 / 6,9 / 4,76 / 123,85 / 136,64 / 76,58 / 85,19 / 47,23 / 51,1.51,313,83 / 123,81 / 136,76 / 110,72 / 123,123 / 20,136 / 19,40 / 20,55 / 19,6 / 9,11 / 17,9 / 20,17 / 19,9 / 4,17 / 4,17 / 20,13 / 19,3 / 4,6 / 4,27 / 85,12 / 76,28 / 51,28 / 47,124,55 / 136,40 / 123,51.0 / 123.0,34.0 / 110.0,136 / 19,123 / 20,55 / 19,40 / 20,6 / 17,3 / 9,17 / 19,9 / 20,17 / 4,9 / 4,6 / 19,3 / 20,6 / 4,3 / 4,259,121,138 / 259,121 / 259,136 / 123,123 / 136,39,16,23 / 39,16 / 39,0.80,0.48,0.94,33.6,3.72,36.3,2:25
US Open 1995,28-08-1995,91.5%,Pete Sampras,Andre Agassi,6-4 6-3 4-6 7-5,24 / 151,8 / 125,6 / 151,4 / 125,89 / 151,72 / 125,80 / 89,52 / 72,30 / 62,32 / 53,4 / 6,3 / 7,110 / 151,84 / 125,20 / 72,9 / 89,21 / 53,32 / 62,4 / 7,2 / 6,41 / 125,41 / 151,0.83,151 / 276,125 / 276,0:00,8,24 / 151,8 / 125,24 / 21,8 / 20,24 / 4,8 / 4,4,6 / 151,4 / 125,6 / 62,4 / 53,6 / 21,4 / 20,6 / 4,4 / 4,24 / 6,8 / 4,89 / 151,72 / 125,80 / 89,52 / 72,30 / 62,32 / 53,1.20,316,110 / 151,84 / 125,86 / 121,76 / 113,151 / 21,125 / 20,41 / 21,41 / 20,4 / 6,3 / 7,6 / 21,7 / 20,6 / 4,7 / 4,19 / 21,16 / 20,2 / 4,4 / 4,20 / 72,9 / 89,21 / 53,32 / 62,105,41 / 125,41 / 151,37.0 / 113.0,35.0 / 121.0,125 / 20,151 / 21,41 / 20,41 / 21,4 / 7,2 / 6,7 / 20,6 / 21,7 / 4,6 / 4,4 / 20,2 / 21,4 / 4,2 / 4,276,125,151 / 276,125 / 276,125 / 151,151 / 125,41,18,23 / 41,18 / 41,0.83,0.48,0.58,0.0,0.00,0.0,0:00
US Open 1994,29-08-1994,92.3%,Andre,Michael Stich,6-1 7-6(5) 7-5,3 / 94,11 / 130,2 / 94,10 / 130,63 / 94,61 / 130,54 / 63,47 / 61,18 / 31,31 / 69,2 / 2,7 / 11,72 / 94,78 / 130,14 / 61,9 / 63,38 / 69,13 / 31,4 / 11,0 / 2,52 / 130,22 / 94,0.59,124 / 224,100 / 224,0:00,11,3 / 94,11 / 130,3 / 15,11 / 16,3 / 3,11 / 3,10,2 / 94,10 / 130,2 / 31,10 / 69,2 / 15,10 / 16,2 / 3,10 / 3,3 / 2,11 / 10,63 / 94,61 / 130,54 / 63,47 / 61,18 / 31,31 / 69,1.71,308,72 / 94,78 / 130,69 / 89,67 / 109,94 / 15,130 / 16,22 / 15,52 / 16,2 / 2,7 / 11,2 / 15,11 / 16,2 / 3,11 / 3,15 / 15,12 / 16,0 / 3,4 / 3,14 / 61,9 / 63,38 / 69,13 / 31,56,52 / 130,22 / 94,42.0 / 109.0,20.0 / 89.0,130 / 16,94 / 15,52 / 16,22 / 15,4 / 11,0 / 2,11 / 16,2 / 15,11 / 3,2 / 3,4 / 16,0 / 15,4 / 3,0 / 3,224,100,124 / 224,100 / 224,130 / 94,94 / 130,31,12,19 / 31,12 / 31,0.59,0.00,0.00,0.0,0.00,0.0,0:00
US Open 1993,30-08-1993,95.7%,Pete Sampras,Cedric Pioline,6-4 6-4 6-3,11 / 85,7 / 117,4 / 85,8 / 117,46 / 85,67 / 117,41 / 46,44 / 67,21 / 39,19 / 50,1 / 3,5 / 11,62 / 85,63 / 117,23 / 67,5 / 46,31 / 50,18 / 39,6 / 11,2 / 3,54 / 117,23 / 85,0.59,116 / 202,86 / 202,0:00,7,11 / 85,7 / 117,11 / 14,7 / 15,11 / 3,7 / 3,8,4 / 85,8 / 117,4 / 39,8 / 50,4 / 14,8 / 15,4 / 3,8 / 3,11 / 4,7 / 8,46 / 85,67 / 117,41 / 46,44 / 67,21 / 39,19 / 50,1.73,266,62 / 85,63 / 117,51 / 70,56 / 102,85 / 14,117 / 15,23 / 14,54 / 15,1 / 3,5 / 11,3 / 14,11 / 15,3 / 3,11 / 3,12 / 14,9 / 15,2 / 3,6 / 3,23 / 67,5 / 46,31 / 50,18 / 39,138,54 / 117,23 / 85,46.0 / 102.0,19.0 / 70.0,117 / 15,85 / 14,54 / 15,23 / 14,6 / 11,2 / 3,11 / 15,3 / 14,11 / 3,3 / 3,6 / 15,2 / 14,6 / 3,2 / 3,202,86,116 / 202,86 / 202,117 / 85,85 / 117,29,11,18 / 29,11 / 29,0.59,0.36,1.22,0.0,0.00,0.0,0:00
US Open 1992,31-08-1992,91.4%,Stefan Edberg,Pete Sampras,3-6 6-4 7-6(5) 6-2,8 / 134,10 / 156,5 / 134,11 / 156,82 / 134,85 / 156,67 / 82,64 / 85,23 / 52,30 / 71,8 / 10,8 / 12,90 / 134,94 / 156,21 / 85,15 / 82,41 / 71,29 / 52,4 / 12,2 / 10,62 / 156,44 / 134,0.83,152 / 290,138 / 290,2:55,10,8 / 134,10 / 156,8 / 19,10 / 20,8 / 4,10 / 4,11,5 / 134,11 / 156,5 / 52,11 / 71,5 / 19,11 / 20,5 / 4,11 / 4,8 / 5,10 / 11,82 / 134,85 / 156,67 / 82,64 / 85,23 / 52,30 / 71,1.78,318,90 / 134,94 / 156,82 / 121,84 / 135,134 / 19,156 / 20,44 / 19,62 / 20,8 / 10,8 / 12,10 / 19,12 / 20,10 / 4,12 / 4,17 / 19,16 / 20,2 / 4,4 / 4,21 / 85,15 / 82,41 / 71,29 / 52,105,62 / 156,44 / 134,51.0 / 135.0,39.0 / 121.0,156 / 20,134 / 19,62 / 20,44 / 19,4 / 12,2 / 10,12 / 20,10 / 19,12 / 4,10 / 4,4 / 20,2 / 19,4 / 4,2 / 4,290,138,152 / 290,138 / 290,156 / 134,134 / 156,39,18,21 / 39,18 / 39,0.83,0.53,0.60,36.2,4.49,43.8,2:55
US Open 1991,26-08-1991,91.8%,Stefan Edberg,Jim Courier,6-2 6-4 6-0,2 / 66,3 / 89,1 / 66,4 / 89,40 / 66,58 / 89,33 / 40,32 / 58,18 / 26,12 / 31,3 / 3,8 / 14,51 / 66,44 / 89,26 / 58,7 / 40,19 / 31,8 / 26,6 / 14,0 / 3,45 / 89,15 / 66,0.45,96 / 155,59 / 155,2:04,3,2 / 66,3 / 89,2 / 12,3 / 12,2 / 3,3 / 3,4,1 / 66,4 / 89,1 / 26,4 / 31,1 / 12,4 / 12,1 / 3,4 / 3,2 / 1,3 / 4,40 / 66,58 / 89,33 / 40,32 / 58,18 / 26,12 / 31,1.43,265,51 / 66,44 / 89,49 / 63,41 / 82,66 / 12,89 / 12,15 / 12,45 / 12,3 / 3,8 / 14,3 / 12,14 / 12,3 / 3,14 / 3,12 / 12,6 / 12,0 / 3,6 / 3,26 / 58,7 / 40,19 / 31,8 / 26,48,45 / 89,15 / 66,41.0 / 82.0,14.0 / 63.0,89 / 12,66 / 12,45 / 12,15 / 12,6 / 14,0 / 3,14 / 12,3 / 12,14 / 3,3 / 3,6 / 12,0 / 12,6 / 3,0 / 3,155,59,96 / 155,59 / 155,89 / 66,66 / 89,24,6,18 / 24,6 / 24,0.45,0.00,0.00,48.0,5.17,41.3,2:04
Australian Open 2021,08-02-2021,90.3%,Novak Djokovic,Daniil Medvedev,7-5 6-2 6-2,3 / 78,6 / 77,2 / 78,4 / 77,52 / 78,49 / 77,38 / 52,34 / 49,15 / 26,9 / 28,2 / 4,4 / 11,53 / 78,43 / 77,15 / 49,14 / 52,19 / 28,11 / 26,7 / 11,2 / 4,34 / 77,25 / 78,0.73,87 / 155,68 / 155,1:53,6,3 / 78,6 / 77,3 / 14,6 / 14,3 / 3,6 / 3,4,2 / 78,4 / 77,2 / 26,4 / 28,2 / 14,4 / 14,2 / 3,4 / 3,3 / 2,6 / 4,52 / 78,49 / 77,38 / 52,34 / 49,15 / 26,9 / 28,2.16,254,53 / 78,43 / 77,50 / 73,37 / 67,78 / 14,77 / 14,25 / 14,34 / 14,2 / 4,4 / 11,4 / 14,11 / 14,4 / 3,11 / 3,12 / 14,7 / 14,2 / 3,7 / 3,15 / 49,14 / 52,19 / 28,11 / 26,134,34 / 77,25 / 78,30.0 / 67.0,23.0 / 73.0,77 / 14,78 / 14,34 / 14,25 / 14,7 / 11,2 / 4,11 / 14,4 / 14,11 / 3,4 / 3,7 / 14,2 / 14,7 / 3,2 / 3,155,68,87 / 155,68 / 155,77 / 78,78 / 77,28,9,19 / 28,9 / 28,0.73,0.29,0.79,43.7,4.04,37.7,1:53
Australian Open 2020,20-01-2020,93.2%,Novak Djokovic,Dominic Thiem,6-4 4-6 2-6 6-3 6-4,9 / 134,13 / 170,5 / 134,5 / 170,87 / 134,108 / 170,66 / 87,75 / 108,24 / 47,28 / 62,7 / 12,7 / 12,90 / 134,103 / 170,33 / 108,21 / 87,34 / 62,23 / 47,5 / 12,5 / 12,67 / 170,44 / 134,0.83,157 / 304,147 / 304,3:59,13,9 / 134,13 / 170,9 / 24,13 / 23,9 / 5,13 / 5,5,5 / 134,5 / 170,5 / 47,5 / 62,5 / 24,5 / 23,5 / 5,5 / 5,9 / 5,13 / 5,87 / 134,108 / 170,66 / 87,75 / 108,24 / 47,28 / 62,1.54,319,90 / 134,103 / 170,81 / 120,90 / 152,134 / 24,170 / 23,44 / 24,67 / 23,7 / 12,7 / 12,12 / 24,12 / 23,12 / 5,12 / 5,19 / 24,18 / 23,5 / 5,5 / 5,33 / 108,21 / 87,34 / 62,23 / 47,136,67 / 170,44 / 134,62.0 / 152.0,39.0 / 120.0,170 / 23,134 / 24,67 / 23,44 / 24,5 / 12,5 / 12,12 / 23,12 / 24,12 / 5,12 / 5,5 / 23,5 / 24,5 / 5,5 / 5,304,147,157 / 304,147 / 304,170 / 134,134 / 170,47,23,24 / 47,23 / 47,0.83,0.96,1.00,47.2,5.09,47.8,3:59
Australian Open 2019,14-01-2019,93.9%,Novak Djokovic,Rafael Nadal,6-3 6-2 6-3,8 / 69,3 / 73,0 / 69,2 / 73,50 / 69,47 / 73,40 / 50,24 / 47,16 / 19,16 / 26,1 / 1,3 / 8,56 / 69,40 / 73,23 / 47,10 / 50,10 / 26,3 / 19,5 / 8,0 / 1,33 / 73,13 / 69,0.42,89 / 142,53 / 142,2:04,3,8 / 69,3 / 73,8 / 13,3 / 13,8 / 3,3 / 3,2,0 / 69,2 / 73,0 / 19,2 / 26,0 / 13,2 / 13,0 / 3,2 / 3,8 / 0,3 / 2,50 / 69,47 / 73,40 / 50,24 / 47,16 / 19,16 / 26,0.83,277,56 / 69,40 / 73,48 / 61,37 / 68,69 / 13,73 / 13,13 / 13,33 / 13,1 / 1,3 / 8,1 / 13,8 / 13,1 / 3,8 / 3,13 / 13,8 / 13,0 / 3,5 / 3,23 / 47,10 / 50,10 / 26,3 / 19,36,33 / 73,13 / 69,31.0 / 68.0,13.0 / 61.0,73 / 13,69 / 13,33 / 13,13 / 13,5 / 8,0 / 1,8 / 13,1 / 13,8 / 3,1 / 3,5 / 13,0 / 13,5 / 3,0 / 3,142,53,89 / 142,53 / 142,73 / 69,69 / 73,26,8,18 / 26,8 / 26,0.42,0.00,0.00,52.4,4.77,41.3,2:04
Australian Open 2018,15-01-2018,94.6%,Roger Federer,Marin Cilic,6-2 6-7(5) 6-3 3-6 6-1,24 / 139,16 / 141,4 / 139,5 / 141,84 / 139,88 / 141,67 / 84,61 / 88,32 / 55,27 / 53,7 / 9,7 / 13,99 / 139,88 / 141,27 / 88,17 / 84,26 / 53,23 / 55,6 / 13,2 / 9,53 / 141,40 / 139,0.77,152 / 280,128 / 280,3:03,16,24 / 139,16 / 141,24 / 23,16 / 22,24 / 5,16 / 5,5,4 / 139,5 / 141,4 / 55,5 / 53,4 / 23,5 / 22,4 / 5,5 / 5,24 / 4,16 / 5,84 / 139,88 / 141,67 / 84,61 / 88,32 / 55,27 / 53,1.36,317,99 / 139,88 / 141,75 / 111,72 / 120,139 / 23,141 / 22,40 / 23,53 / 22,7 / 9,7 / 13,9 / 23,13 / 22,9 / 5,13 / 5,21 / 23,16 / 22,2 / 5,6 / 5,27 / 88,17 / 84,26 / 53,23 / 55,93,53 / 141,40 / 139,48.0 / 120.0,36.0 / 111.0,141 / 22,139 / 23,53 / 22,40 / 23,6 / 13,2 / 9,13 / 22,9 / 23,13 / 5,9 / 5,6 / 22,2 / 23,6 / 5,2 / 5,280,128,152 / 280,128 / 280,141 / 139,139 / 141,45,18,27 / 45,18 / 45,0.77,0.32,0.48,39.2,4.07,36.6,3:03
Australian Open 2017,16-01-2017,97.2%,Roger Federer,Rafael Nadal,6-4 3-6 6-1 3-6 6-3,20 / 138,4 / 151,3 / 138,3 / 151,85 / 138,110 / 151,65 / 85,69 / 110,26 / 53,23 / 41,13 / 17,14 / 20,91 / 138,92 / 151,41 / 110,20 / 85,18 / 41,27 / 53,6 / 20,4 / 17,59 / 151,47 / 138,0.87,150 / 289,139 / 289,3:37,4,20 / 138,4 / 151,20 / 22,4 / 22,20 / 5,4 / 5,3,3 / 138,3 / 151,3 / 53,3 / 41,3 / 22,3 / 22,3 / 5,3 / 5,20 / 3,4 / 3,85 / 138,110 / 151,65 / 85,69 / 110,26 / 53,23 / 41,1.12,335,91 / 138,92 / 151,71 / 115,88 / 144,138 / 22,151 / 22,47 / 22,59 / 22,13 / 17,14 / 20,17 / 22,20 / 22,17 / 5,20 / 5,18 / 22,16 / 22,4 / 5,6 / 5,41 / 110,20 / 85,18 / 41,27 / 53,116,59 / 151,47 / 138,56.0 / 144.0,44.0 / 115.0,151 / 22,138 / 22,59 / 22,47 / 22,6 / 20,4 / 17,20 / 22,17 / 22,20 / 5,17 / 5,6 / 22,4 / 22,6 / 5,4 / 5,289,139,150 / 289,139 / 289,151 / 138,138 / 151,44,20,24 / 44,20 / 44,0.87,0.67,0.78,45.1,4.93,43.4,3:37
Australian Open 2016,18-01-2016,95.2%,Novak Djokovic,Andy Murray,6-1 7-5 7-6,7 / 111,12 / 111,3 / 111,5 / 111,73 / 111,71 / 111,54 / 73,48 / 71,20 / 38,14 / 40,4 / 6,7 / 12,74 / 111,62 / 111,23 / 71,19 / 73,26 / 40,18 / 38,5 / 12,2 / 6,49 / 111,37 / 111,0.76,123 / 222,99 / 222,2:53,12,7 / 111,12 / 111,7 / 16,12 / 16,7 / 3,12 / 3,5,3 / 111,5 / 111,3 / 38,5 / 40,3 / 16,5 / 16,3 / 3,5 / 3,7 / 3,12 / 5,73 / 111,71 / 111,54 / 73,48 / 71,20 / 38,14 / 40,1.93,300,74 / 111,62 / 111,67 / 101,50 / 94,111 / 16,111 / 16,37 / 16,49 / 16,4 / 6,7 / 12,6 / 16,12 / 16,6 / 3,12 / 3,14 / 16,11 / 16,2 / 3,5 / 3,23 / 71,19 / 73,26 / 40,18 / 38,119,49 / 111,37 / 111,44.0 / 94.0,34.0 / 101.0,111 / 16,111 / 16,49 / 16,37 / 16,5 / 12,2 / 6,12 / 16,6 / 16,12 / 3,6 / 3,5 / 16,2 / 16,5 / 3,2 / 3,222,99,123 / 222,99 / 222,111 / 111,111 / 111,32,12,20 / 32,12 / 32,0.76,0.40,0.80,46.8,5.41,57.7,2:53
Australian Open 2015,19-01-2015,93.5%,Novak Djokovic,Andy Murray,7-6(5) 6-7(4) 6-3 6-0,9 / 136,10 / 118,1 / 136,3 / 118,81 / 136,77 / 118,48 / 81,50 / 77,34 / 55,14 / 41,7 / 12,7 / 16,82 / 136,64 / 118,27 / 77,33 / 81,27 / 41,21 / 55,9 / 16,5 / 12,54 / 118,54 / 136,0.87,136 / 254,118 / 254,3:39,10,9 / 136,10 / 118,9 / 20,10 / 19,9 / 4,10 / 4,3,1 / 136,3 / 118,1 / 55,3 / 41,1 / 20,3 / 19,1 / 4,3 / 4,9 / 1,10 / 3,81 / 136,77 / 118,48 / 81,50 / 77,34 / 55,14 / 41,1.90,267,82 / 136,64 / 118,73 / 126,54 / 105,136 / 20,118 / 19,54 / 20,54 / 19,7 / 12,7 / 16,12 / 20,16 / 19,12 / 4,16 / 4,15 / 20,10 / 19,5 / 4,9 / 4,27 / 77,33 / 81,27 / 41,21 / 55,146,54 / 118,54 / 136,51.0 / 105.0,53.0 / 126.0,118 / 19,136 / 20,54 / 19,54 / 20,9 / 16,5 / 12,16 / 19,12 / 20,16 / 4,12 / 4,9 / 19,5 / 20,9 / 4,5 / 4,254,118,136 / 254,118 / 254,118 / 136,136 / 118,39,15,24 / 39,15 / 39,0.87,0.53,0.74,51.7,5.62,54.8,3:39
